round,ticket_id,annotator,intent,sentiment,role
R1,GF-0001,A1,other_contact,neutral,production
R1,GF-0002,A1,billing_payments,neutral,production
R1,GF-0003,A1,billing_payments,neutral,overlap
R1,GF-0004,A1,other_contact,negative,overlap
R1,GF-0006,A1,refund_request,negative,overlap
R1,GF-0007,A1,account_access,neutral,overlap
R1,GF-0008,A1,feedback_complaints,neutral,production
R1,GF-0011,A1,refund_request,neutral,production
R1,GF-0012,A1,feedback_complaints,negative,overlap
R1,GF-0017,A1,other_contact,negative,production
R1,GF-0022,A1,account_access,neutral,overlap
R1,GF-0024,A1,billing_payments,neutral,overlap
R1,GF-0026,A1,refund_request,neutral,overlap
R1,GF-0028,A1,feedback_complaints,positive,overlap
R1,GF-0030,A1,cancellation,neutral,overlap
R1,GF-0031,A1,cancellation,neutral,overlap
R1,GF-0032,A1,cancellation,neutral,production
R1,GF-0033,A1,refund_request,positive,overlap
R1,GF-0034,A1,account_access,negative,production
R1,GF-0036,A1,shipping_delivery,neutral,overlap
R1,GF-0037,A1,other_contact,neutral,production
R1,GF-0038,A1,other_contact,neutral,production
R1,GF-0039,A1,feedback_complaints,positive,production
R1,GF-0041,A1,other_contact,negative,overlap
R1,GF-0042,A1,other_contact,neutral,overlap
R1,GF-0043,A1,account_access,negative,production
R1,GF-0044,A1,account_access,negative,production
R1,GF-0045,A1,account_access,neutral,overlap
R1,GF-0050,A1,refund_request,neutral,production
R1,GF-0051,A1,billing_payments,neutral,production
R1,GF-0052,A1,other_contact,negative,production
R1,GF-0053,A1,shipping_delivery,positive,production
R1,GF-0054,A1,shipping_delivery,neutral,overlap
R1,GF-0055,A1,cancellation,neutral,overlap
R1,GF-0058,A1,refund_request,neutral,overlap
R1,GF-0060,A1,feedback_complaints,neutral,production
R1,GF-0062,A1,order_changes,neutral,production
R1,GF-0064,A1,shipping_delivery,neutral,overlap
R1,GF-0065,A1,billing_payments,negative,production
R1,GF-0067,A1,feedback_complaints,neutral,overlap
R1,GF-0068,A1,other_contact,neutral,production
R1,GF-0071,A1,refund_request,positive,overlap
R1,GF-0072,A1,order_changes,neutral,overlap
R1,GF-0073,A1,shipping_delivery,neutral,production
R1,GF-0076,A1,billing_payments,negative,overlap
R1,GF-0078,A1,shipping_delivery,neutral,overlap
R1,GF-0081,A1,other_contact,negative,overlap
R1,GF-0082,A1,feedback_complaints,positive,overlap
R1,GF-0083,A1,billing_payments,neutral,production
R1,GF-0084,A1,account_access,neutral,production
R1,GF-0087,A1,billing_payments,neutral,production
R1,GF-0088,A1,other_contact,negative,overlap
R1,GF-0091,A1,refund_request,positive,production
R1,GF-0092,A1,cancellation,positive,production
R1,GF-0093,A1,account_access,positive,production
R1,GF-0094,A1,cancellation,neutral,production
R1,GF-0097,A1,shipping_delivery,neutral,overlap
R1,GF-0098,A1,feedback_complaints,neutral,overlap
